        0.087  5.9E-11 -4.0E-11
        0.371  3.3E-10 -7.9E-10
        0.624  1.6E-10 -1.1E-10
        1.026  5.6E-10 -5.4E-10
        1.206  3.9E-10 -4.4E-10
        1.591  4.8E-11 -3.2E-11
        1.879  2.9E-10 -7.0E-10
        2.129  1.8E-10 -1.3E-10
        2.532  5.6E-10 -5.3E-10
        2.712  3.5E-10 -4.1E-10
        3.095  3.6E-11 -2.4E-11
        3.386  2.5E-10 -5.9E-10
        3.633  2.0E-10 -1.4E-10
        4.037  5.6E-10 -5.2E-10
        4.217  3.1E-10 -3.6E-10
        4.598  2.4E-11 -1.6E-11
        4.893  1.9E-10 -4.4E-10
        5.135  2.3E-10 -1.6E-10
        5.540  5.6E-10 -5.1E-10
        5.722  2.4E-10 -3.0E-10
        6.098  1.2E-11 -8.1E-12
        6.399  1.1E-10 -2.4E-10
        6.635  2.6E-10 -1.9E-10
        7.041  5.4E-10 -4.8E-10
        7.225  1.6E-10 -2.0E-10
        7.596  9.8E-13 -6.5E-13
        7.904  3.4E-12 -7.3E-12
        8.132  3.1E-10 -2.2E-10
        8.540  5.0E-10 -4.3E-10
        8.727  4.4E-11 -6.1E-11
        9.090 -6.8E-12  4.5E-12
        9.408 -9.3E-11  1.8E-10
        9.626  3.6E-10 -2.7E-10
       10.035  4.4E-10 -3.6E-10
       10.228 -8.0E-11  1.2E-10
       10.579 -7.2E-12  4.8E-12
       10.910 -1.2E-10  2.1E-10
       11.117  4.3E-10 -3.4E-10
       11.525  3.5E-10 -2.8E-10
       11.727 -1.6E-10  2.7E-10
       12.063  5.6E-12 -3.7E-12
       12.409  7.8E-12 -1.2E-11
       12.604  5.1E-10 -4.2E-10
       13.010  2.3E-10 -1.8E-10
       13.225 -6.7E-11  1.3E-10
       13.542  3.9E-11 -2.6E-11
       13.903  2.9E-10 -3.9E-10
       14.087  5.6E-10 -5.0E-10
       14.487  1.1E-10 -8.3E-11
       14.723  2.6E-10 -6.0E-10
       15.014  1.0E-10 -7.2E-11
       15.390  5.7E-10 -6.5E-10
       15.567  5.2E-10 -5.2E-10
       15.956  1.8E-11 -1.3E-11
       16.219  4.2E-10 -1.0E-09
       16.479  2.1E-10 -1.5E-10
       16.869  6.2E-10 -6.1E-10
       17.045  2.5E-10 -3.0E-10
       17.416 -2.7E-11  1.9E-11
       17.713 -5.7E-11  1.2E-10
       17.937  3.8E-10 -2.9E-10
       18.335  4.0E-10 -3.4E-10
       18.525 -2.0E-10  3.1E-10
       18.865 -2.7E-12  1.9E-12
       19.199  3.7E-11 -6.0E-11
       19.391  5.6E-10 -4.7E-10
       19.787  1.2E-10 -9.2E-11
       20.008  1.3E-10 -2.8E-10
       20.303  1.1E-10 -7.7E-11
       20.671  6.6E-10 -7.7E-10
       20.844  5.1E-10 -5.3E-10
       21.223 -3.6E-11  2.6E-11
       21.494  2.2E-10 -5.4E-10
       21.733  3.3E-10 -2.5E-10
       22.121  4.6E-10 -4.1E-10
       22.303 -2.0E-10  3.0E-10
       22.642 -7.1E-12  4.9E-12
       22.971  1.1E-10 -1.7E-10
       23.158  6.1E-10 -5.3E-10
       23.545  2.6E-11 -2.0E-11
       23.774  4.1E-10 -9.7E-10
       24.047  2.0E-10 -1.4E-10
       24.419  6.9E-10 -7.2E-10
       24.590  1.8E-10 -2.2E-10
       24.944 -4.8E-11  3.4E-11
       25.247 -2.1E-10  4.1E-10
       25.446  5.7E-10 -4.8E-10
       25.829  4.9E-11 -3.9E-11
       26.043  2.0E-10 -4.5E-10
       26.323  1.9E-10 -1.4E-10
       26.686  7.3E-10 -7.9E-10
       26.854  1.7E-10 -2.1E-10
       27.202 -4.5E-11  3.3E-11
       27.506 -9.2E-11  1.7E-10
       27.695  6.4E-10 -5.6E-10
       28.070 -5.4E-11  4.3E-11
       28.297  6.0E-10 -1.5E-09
       28.551  3.1E-10 -2.4E-10
       28.917  4.2E-10 -4.0E-10
       29.091 -4.5E-10  6.9E-10
       29.408  5.6E-11 -4.2E-11
       29.738  8.8E-10 -1.2E-09
       29.904  5.9E-10 -6.2E-10
       30.256 -9.1E-11  7.0E-11
       30.533 -3.7E-10  7.8E-10
       30.729  6.4E-10 -5.6E-10
       31.091 -1.1E-10  9.2E-11
       31.313  7.0E-10 -1.8E-09
       31.555  4.0E-10 -3.2E-10
       31.910  1.1E-10 -1.0E-10
       32.092 -5.6E-10  1.1E-09
       32.375  2.1E-10 -1.7E-10
       32.713  6.2E-10 -6.8E-10
       32.875 -3.8E-10  5.4E-10
       33.185  8.5E-11 -6.7E-11
       33.501  1.1E-09 -1.4E-09
       33.659  3.6E-10 -4.3E-10
       33.982  1.6E-12 -1.3E-12
       34.277  1.1E-09 -1.7E-09
       34.438  6.9E-10 -7.5E-10
       34.766 -5.1E-11  4.2E-11
       35.043  6.9E-10 -1.2E-09
       35.209  7.8E-10 -8.1E-10
       35.535 -7.5E-11  6.3E-11
       35.802  5.1E-10 -9.7E-10
       35.969  8.0E-10 -8.4E-10
       36.289 -6.4E-11  5.5E-11
       36.554  8.6E-10 -1.6E-09
       36.715  7.9E-10 -8.6E-10
       37.027 -8.9E-12  7.8E-12
       37.297  1.5E-09 -2.6E-09
       37.449  6.3E-10 -7.5E-10
       37.747  9.3E-11 -8.4E-11
       38.027  1.2E-09 -1.7E-09
       38.171 -2.0E-10  2.8E-10
       38.448  2.4E-10 -2.2E-10
       38.737 -1.0E-10  1.2E-10
       38.888 -1.6E-09  3.1E-09
       39.129  4.3E-10 -4.2E-10
       39.421 -3.6E-10  3.9E-10
       39.607  6.4E-10 -1.8E-09
       39.793  7.5E-10 -8.1E-10
       40.075  1.5E-11 -1.6E-11
       40.312  2.1E-09 -3.8E-09
       40.449  1.5E-10 -2.1E-10
       40.700  2.9E-10 -3.0E-10
       40.963 -5.4E-10  6.6E-10
       41.123  2.0E-09 -5.6E-09
       41.304  6.9E-10 -8.2E-10
       41.559  1.3E-10 -1.5E-10
       41.788 -3.6E-10  5.6E-10
       41.915 -2.7E-09  5.3E-09
       42.118  3.8E-10 -4.5E-10
       42.358  7.4E-11 -9.1E-11
       42.562  9.2E-11 -1.7E-10
       42.680 -2.3E-09  4.5E-09
       42.874  1.8E-10 -2.3E-10
       43.093  1.8E-11 -2.4E-11
       43.289 -1.4E-09  2.4E-09
       43.405 -1.1E-09  3.0E-09
       43.564  1.5E-10 -2.3E-10
       43.758 -5.7E-10  8.3E-10
       43.946 -1.0E-10  1.7E-10
       44.098  1.0E-09 -2.6E-09
       44.198 -2.2E-09  4.9E-09
       44.352 -9.9E-10  1.7E-09
       44.518 -2.2E-09  3.9E-09
       44.677 -1.2E-09  2.3E-09
       44.816 -1.6E-09  3.9E-09
       44.908  5.5E-09 -1.9E-08
       45.018 -7.2E-10  1.6E-09
       45.149 -4.6E-09  9.9E-09
       45.280 -8.1E-09  1.8E-08
       45.404 -8.2E-09  2.0E-08
       45.518 -3.9E-09  1.0E-08
       45.615 -4.2E-09  1.5E-08
       45.684  2.9E-09 -1.1E-08
       45.772 -2.1E-09  6.3E-09
       45.868 -6.3E-09  1.9E-08
       45.963 -1.2E-08  3.6E-08
       46.056 -1.6E-08  5.1E-08
       46.146 -1.7E-08  5.6E-08
       46.232 -1.5E-08  4.9E-08
       46.313 -8.8E-09  3.2E-08
       46.385  2.0E-10 -8.8E-10
       46.446 -1.4E-09  6.3E-09
       46.518 -1.3E-08  4.9E-08
       46.599 -2.3E-08  7.7E-08
       46.685 -2.6E-08  8.5E-08
       46.774 -2.4E-08  7.4E-08
       46.867 -1.6E-08  5.0E-08
       46.962 -7.9E-09  2.4E-08
       47.058 -2.2E-09  6.8E-09
       47.144  3.2E-09 -1.3E-08
       47.213 -4.3E-09  1.5E-08
       47.310 -6.3E-09  1.7E-08
       47.424 -1.4E-08  3.5E-08
       47.548 -1.4E-08  3.2E-08
       47.678 -7.4E-09  1.6E-08
       47.809 -1.1E-09  2.6E-09
       47.918  6.2E-09 -2.2E-08
       48.010 -1.6E-09  3.8E-09
       48.150 -1.9E-09  3.5E-09
       48.309 -3.3E-09  5.8E-09
       48.476 -1.4E-09  2.5E-09
       48.628 -3.0E-09  6.7E-09
       48.727  1.4E-10 -3.4E-10
       48.881 -2.8E-10  4.6E-10
       49.070 -7.9E-10  1.2E-09
       49.265  1.7E-10 -2.5E-10
       49.418  2.0E-09 -5.7E-09
       49.538 -1.1E-09  1.8E-09
       49.737 -8.9E-11  1.2E-10
       49.957  2.7E-10 -3.5E-10
       50.144 -3.3E-09  6.9E-09
       50.263 -5.3E-10  8.9E-10
       50.474  1.8E-11 -2.2E-11
       50.714  5.2E-10 -6.4E-10
       50.907 -1.9E-09  4.4E-09
       51.039 -6.1E-10  8.8E-10
       51.277  1.2E-10 -1.3E-10
       51.530  8.7E-10 -1.1E-09
       51.692 -8.5E-10  2.5E-09
       51.871 -3.6E-10  4.2E-10
       52.140  3.7E-10 -3.9E-10
       52.379 -1.4E-09  2.4E-09
       52.512  6.4E-10 -9.5E-10
       52.767  6.7E-11 -6.7E-11
       53.046  9.2E-10 -1.1E-09
       53.205 -3.1E-10  7.5E-10
       53.421 -2.1E-10  2.1E-10
       53.717  6.6E-10 -6.6E-10
       53.926  1.4E-09 -3.8E-09
       54.102 -3.2E-10  3.3E-10
       54.404  3.9E-10 -3.7E-10
       54.653 -1.4E-09  2.8E-09
       54.808  4.4E-13 -5.1E-13
       55.110  2.4E-10 -2.1E-10
       55.383 -1.0E-09  1.6E-09
       55.532  5.2E-10 -6.3E-10
       55.834  1.5E-10 -1.3E-10
       56.123 -4.7E-10  6.7E-10
       56.272  8.1E-10 -1.0E-09
       56.577  1.1E-10 -9.6E-11
       56.872 -3.8E-10  5.4E-10
       57.024  8.0E-10 -9.7E-10
       57.336  1.2E-10 -1.0E-10
       57.631 -6.5E-10  9.7E-10
       57.787  5.8E-10 -6.6E-10
       58.111  1.8E-10 -1.4E-10
       58.397 -9.3E-10  1.6E-09
       58.562  2.6E-10 -2.7E-10
       58.901  2.8E-10 -2.3E-10
       59.165 -1.4E-10  3.1E-10
       59.352 -3.9E-12  3.6E-12
       59.703  4.6E-10 -3.9E-10
       59.934  7.1E-10 -1.9E-09
       60.156 -1.2E-10  1.0E-10
       60.513  6.9E-10 -6.2E-10
       60.706 -3.9E-10  8.6E-10
